Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,Cap0.1uF,87.019,-59.282,0,top
C2,10u,Cap10uF,89.4,-59.482,180,top
C3,1u,Cap1uF,83.175,-67.899999,0,top
C4,4.7u,Cap4.7uF,83.395,-69.699999,180,top
C5,1u,Cap1uF,77.4,-69.999999,90,top
C6,4.7p,Cap4.7pF,77.5,-67.899999,0,top
C7,4.7u,Cap4.7uF,67.4,-64.195,270,top
C8,0.1u,Cap0.1uF,77.719,-65.699999,0,top
C9,0.1u,Cap0.1uF,127.5,-62.881,270,top
C10,0.1u,Cap0.1uF,139.2,-66.081,90,top
C11,0.1u,Cap0.1uF,135.6,-81.481,270,top
C12,0.1u,Cap0.1uF,116.8,-68.019,90,top
C13,0.1u,Cap0.1uF,107.798697,-72.101303,45,top
C14,0.1u,Cap0.1uF,103.398697,-64.501303,45,top
C15,0.1u,Cap0.1uF,124.081,-81.2,0,top
C16,0.1u,Cap0.1uF,72.4,-64.280999,90,top
C17,1u,Cap1uF,97.658135,-72.066992,225,top
C18,1u,Cap1uF,96.558135,-70.966992,225,top
C19,18p,Cap18pF,98.694359,-73.130768,45,top
C20,18p,Cap18pF,101.721911,-73.630768,135,top
C21,0.1u,Cap0.1uF,103.558135,-65.766992,45,top
C22,0.1u,Cap0.1uF,104.258135,-66.466992,45,top
C23,10u,Cap10uF,113.369401,-61.713301,180,top
C24,0.1u,Cap0.1uF,113.111401,-60.613301,180,top
C25,0.1u,Cap0.1uF,113.049401,-59.713301,0,top
C26,0.1u,Cap0.1uF,114.330401,-60.094301,90,top
C27,10u,Cap10uF,116.589401,-51.885001,0,top
C28,10u,Cap10uF,122.689401,-51.885001,0,top
C29,0.1u,Cap0.1uF,121.569401,-50.785001,0,top
C30,2.2n,Cap2.2nF,123.5304,-54.765001,180,top
C31,1n,Cap1nF,122.905401,-59.465001,0,top
C32,10u,Cap10uF,125.2304,-60.204001,270,top
C33,0.1u,Cap0.1uF,126.3304,-60.246001,270,top
C34,0.1u,Cap0.1uF,130.0304,-53.104001,270,top
C35,10u,Cap10uF,131.1304,-53.162001,270,top
C36,10u,Cap10uF,136.826748,-66.146,90,top
C37,0.1u,Cap0.1uF,135.726748,-66.085,90,top
C38,0.1u,Cap0.1uF,132.126748,-73.185,90,top
C39,10u,Cap10uF,131.026748,-73.124,90,top
C40,0.1u,Cap0.1uF,124.6054,-67.669,90,top
C41,10u,Cap10uF,114.6054,-64.811,90,top
C42,0.1u,Cap0.1uF,116.0054,-65.55,0,top
D1,SchottkyDiode,SchottkyReplacement,75.6,-71.9,90,top
D2,DiodeLowLeak,DiodeLowLeak,128.2706,-69.25,0,top
D3,DiodeClamper,DiodeClamper,119.5054,-70.05,90,top
D4,DiodeClamper,DiodeClamper,119.5054,-65.8,90,top
L1,SRF0703-4R7M,Inductor4.7uReplacement,70.2,-69.9,90,top
L2,10u,Inductor10uH,105.713214,-66.811913,45,top
R1,1k,Resistor1k,85.3,-60.582,270,top
R2,71.5k,Resistor71.5k,77.1,-61.899999,180,top
R3,1M,Resistor1M,76.5,-63.999999,180,top
R4,10k,Resistor10k,96.769823,-65.046447,135,top
R5,10k,Resistor10k,94.369823,-68.746447,45,top
R6,10k,Resistor10k,95.4501,-69.86617,45,top
R7,47,Resistor47,104.458135,-70.566992,315,top
R8,47,Resistor47,105.258135,-69.766992,315,top
R9,47,Resistor47,106.063605,-68.972462,135,top
R10,47,Resistor47,123.7,-76.2,180,top
R11,10k,Resistor10k,114.130401,-49.713301,90,top
R12,6.8k,Resistor6.8k,118.7304,-55.985001,270,top
R13,6.8k,Resistor6.8k,122.2304,-57.565001,0,top
R14,30k,Resistor30k,133.1304,-57.665001,270,top
R15,1.8k,Resistor1.8k,129.7304,-60.565001,180,top
R16,100,Resistor100,139.326748,-68.985,0,top
R17,300k,Resistor300k,126.2054,-66.45,90,top
R18,1k,Resistor1k,121.8054,-67.9104,180,top
U1,L7805CV,L7805CV,88.14,-56.8,0,top
U2,LT8330,LT8330,80.0499,-68.75,270,top
U3,ATmega328P,ATmega328P,100.658135,-68.466992,45,top
U4,AD9833BRMZ,AD9833,114.1304,-56.085001,0,top
U5,Buffer,Buffer,119.874351,-52.335,180,top
U6,OPA2134UA/2K5,OPA2134smd,128.230401,-56.665001,270,top
U7,TL072ACDR,TL072smd,133.9054,-69.65,90,top
U8,MCP6002T-E/MC,MCP6002smd,113.5054,-67.15,270,top
XTAL1,TSX-3225 16.0000MF18X-AC3,Crystal16MHz,99.366167,-75.566066,225,top
