"Reference","Value","Footprint","Description","Manufacturer","DNP","Exclude from BOM","Exclude from Board","LCSC PN"
"HS1","Heatsink","BowelProbe:Heatsink","HEAT SINK, EXTRUSION, TO-220, 38","Same Sky","DNP","Excluded from BOM","",""
"J11","Conn_02x03_Odd_Even","BowelProbe:Dupont2x3","CONN HDR 6POS 0.1 GOLD PCB","Sullins Connector Solutions","DNP","Excluded from BOM","","C6148500"
"C6","4.7p","BowelProbe:Cap4.7pF","4.7pF 50V C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C161327"
"L1","SRF0703-4R7M","BowelProbe:Inductor4.7uReplacement","3.09A 3.78A 4.7uH 40.6mΩ ±20% SMD-4P,7.6x7.6mm Power Inductors ROHS","Bourns","","","","C7084454"
"C30","2.2n","BowelProbe:Cap2.2nF","2.2nF 50V X7R ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","KEMET","","","","C2168449"
"C31","1n","BowelProbe:Cap1nF","1nF 50V X7R ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","KEMET","","","","C2167183"
"C20","18p","BowelProbe:Cap18pF","18pF 50V C0G 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","KEMET","","","","C2179138"
"C19","18p","BowelProbe:Cap18pF","18pF 50V C0G 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","KEMET","","","","C2179138"
"C7","4.7u","BowelProbe:Cap4.7uF","16V 4.7uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408144"
"C4","4.7u","BowelProbe:Cap4.7uF","16V 4.7uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408144"
"C18","1u","BowelProbe:Cap1uF","16V 1uF X7R ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","KYOCERA AVX","","","","C2177011"
"C17","1u","BowelProbe:Cap1uF","16V 1uF X7R ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","KYOCERA AVX","","","","C2177011"
"C5","1u","BowelProbe:Cap1uF","16V 1uF X7R ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","KYOCERA AVX","","","","C2177011"
"C3","1u","BowelProbe:Cap1uF","16V 1uF X7R ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","KYOCERA AVX","","","","C2177011"
"C41","10u","BowelProbe:Cap10uF","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408132"
"C39","10u","BowelProbe:Cap10uF","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408132"
"C36","10u","BowelProbe:Cap10uF","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408132"
"C35","10u","BowelProbe:Cap10uF","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408132"
"C32","10u","BowelProbe:Cap10uF","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408132"
"C28","10u","BowelProbe:Cap10uF","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408132"
"C27","10u","BowelProbe:Cap10uF","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408132"
"C23","10u","BowelProbe:Cap10uF","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408132"
"C2","10u","BowelProbe:Cap10uF","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C408132"
"L2","10u","BowelProbe:Inductor10uH","10mA 10uH 1Ω 30@2MHz 30MHz ±5% 0603 Inductors (SMD) ROHS","TDK","","","","C275361"
"C42","0.1u","BowelProbe:Cap0.1uF","100nF 16V X7S ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C85923"
"C40","0.1u","BowelProbe:Cap0.1uF","100nF 16V X7S ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C85923"
"C38","0.1u","BowelProbe:Cap0.1uF","100nF 16V X7S ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C85923"
"C37","0.1u","BowelProbe:Cap0.1uF","100nF 16V X7S ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C85923"
"C34","0.1u","BowelProbe:Cap0.1uF","100nF 16V X7S ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C85923"
"C33","0.1u","BowelProbe:Cap0.1uF","100nF 16V X7S ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C85923"
"C29","0.1u","BowelProbe:Cap0.1uF","100nF 16V X7S ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C85923"
"C26","0.1u","BowelProbe:Cap0.1uF","100nF 16V X7S ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C85923"
"C25","0.1u","BowelProbe:Cap0.1uF","100nF 16V X7S ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","","","","C85923"
